Metric,Baseline,Federated,Difference
Accuracy,0.9479258605472197,0.9902912621359223,0.04236540158870261
Precision,0.21333333333333335,0.7272727272727273,0.5139393939393939
Recall,1.0,0.5,0.5
F1_Score,0.3516483516483517,0.5925925925925926,0.24094424094424088
AUC,0.9970904207699195,0.8408124440465533,0.15627797672336619
